Country,Cases
Afghanistan,57721
Albania,129456
Algeria,119486
Andorra,12771
Angola,24300
Antigua and Barbuda,1218
Argentina,2677747
Armenia,207973
Australia,29719
Austria,591347
Azerbaijan,298522
Bahamas,9634
Bahrain,163113
Bangladesh,715252
Barbados,3773
Belarus,342923
Belgium,947000
Belize,12538
Benin,8029
Bhutan,952
Bolivia,287360
Bosnia and Herzegovina,188994
Botswana,44075
Brazil,13900091
Brunei,221
Bulgaria,385963
Burkina Faso,13114
Burma,142619
Burundi,3477
Cabo Verde,19975
Cambodia,5771
Cameroon,64809
Canada,1121212
Central African Republic,5728
Chad,4691
Chile,1117348
China,101667
Colombia,2636076
Comoros,3815
Congo,38978
Costa Rica,228577
Cote d'Ivoire,45587
Croatia,306225
Cuba,92474
Cyprus,55441
Czechia,1604769
DailyTotal,140828512
Denmark,246428
Diamond Princess,712
Djibouti,10412
Dominica,165
Dominican Republic,260627
Ecuador,380289
Egypt,215484
El Salvador,67588
Equatorial Guinea,7259
Eritrea,3491
Estonia,117011
Eswatini,18415
Ethiopia,240236
Fiji,72
Finland,83649
France,5477140
Gabon,21858
Gambia,5920
Georgia,294540
Germany,3154305
Ghana,91663
Greece,313444
Grenada,155
Guatemala,212307
Guinea,21460
Guinea-Bissau,3710
Guyana,11792
Haiti,12885
Holy See,27
Honduras,200299
Hungary,746802
Iceland,6288
India,14526609
Indonesia,1599763
Iran,2215445
Iraq,970987
Ireland,243238
Israel,837045
Italy,3857739
Jamaica,43684
Japan,531107
Jordan,683686
Kazakhstan,338764
Kenya,151287
"Korea, South",114114
Kosovo,100329
Kuwait,255860
Kyrgyzstan,91639
Laos,58
Latvia,110997
Lebanon,508503
Lesotho,10709
Liberia,2042
Libya,171131
Liechtenstein,2804
Lithuania,232829
Luxembourg,67442
MS Zaandam,9
Madagascar,31631
Malawi,33919
Malaysia,372859
Maldives,26145
Mali,12980
Malta,30011
Marshall Islands,6
Mauritania,18121
Mauritius,1207
Mexico,2304096
Micronesia,1
Moldova,245494
Monaco,2419
Mongolia,21995
Montenegro,95377
Morocco,505447
Mozambique,69134
Namibia,46515
Nepal,283660
Netherlands,1419871
New Zealand,2603
Nicaragua,6778
Niger,5124
Nigeria,164207
North Macedonia,146733
Norway,107144
Oman,176668
Pakistan,756285
Panama,360597
Papua New Guinea,9375
Paraguay,248364
Peru,1697626
Philippines,926052
Poland,2675874
Portugal,830882
Qatar,195757
Romania,1027039
Russia,4640537
Rwanda,23866
Saint Kitts and Nevis,44
Saint Lucia,4401
Saint Vincent and the Grenadines,1819
Samoa,3
San Marino,5082
Sao Tome and Principe,2275
Saudi Arabia,404054
Senegal,39731
Serbia,660299
Seychelles,4875
Sierra Leone,4020
Singapore,60808
Slovakia,375336
Slovenia,231593
Solomon Islands,20
Somalia,12837
South Africa,1565680
South Sudan,10432
Spain,3576789
Sri Lanka,96354
Sudan,33022
Suriname,9545
Sweden,900138
Switzerland,632399
Syria,21004
Taiwan*,1077
Tajikistan,13308
Tanzania,509
Thailand,40623
Timor-Leste,1236
Togo,12496
Trinidad and Tobago,8806
Tunisia,283976
Turkey,4212645
US,31627700
Uganda,41550
Ukraine,1989160
United Arab Emirates,495224
United Kingdom,4410912
Uruguay,162442
Uzbekistan,86338
Vanuatu,3
Venezuela,181903
Vietnam,2781
West Bank and Gaza,279753
Yemen,5772
Zambia,90844
Zimbabwe,37711
